Author,Title,Date,Publication,Place,Full_text,URL
"Macintyre, Ben",War awakes the eloquent anger of the ignored,The Times,2008-Nov-22,"London, England","War awakes the eloquent anger of the ignored
Ben Macintyre
v 7-""'"" yy.T9'''u'jyj - T: T'n. J-}'7'*>;'/ ' J v> 7',7 7"" ,'* ''-i7>V
THE NOT DEAD by Simon Armitage THE FIRST WORLD WAR marked the bloody heyday of war poetry. The combination of a highly literate fighting force and long periods of enforced inactivity and conditions of extreme horror produced poetry of a quality and quantity that will never (perhaps mercifully) be equalled. Will another Wilfred,Owen or Siegfried Sassoon emerge from the wars in Afghanistan or Iraq? I doubt it. The blog, and not the poem, is the preferred word-weapon of today's soldier. Yet contemporary war poetry is being written, albeit seldom by those at the front. The wars in which we are mired have each lasted longer than the First World War, and war has been woven grimly into the national consciousness. ""It could be argued,"" writes Simon Armitage, that ""the permanent backdrop of our current military situation makes almost every poem a war poem"". The Not Dead is Armitage's brilliant and painful evocation of the pity of modern warfare, less concerned with the blood and bullets ofthe bat-
tlefield than the carnage left behind in soldiers' minds. The ""Not Dead"" are the surviving soldiers, broken in mind and body, uncelebrated, invisible and ignored. Armitage's anger is reminiscent of Tommy, Rudyard Kipling's poem condemning the casual civilian disdain for the humble squaddie: We are morbidly ill. Soldiers with nothing but time to kill, we idle now in everyday clothes and ordinary towns, blowing up, breaking down. The poems in this collection were written for the film ofthe same name, a collaboration with the director Brian Hill exploring the lives of returning soldiers, that was broadcast last year on Remembrance Sunday. Each poem in this collection is a vivid little biography: the UN ""blue lid"" in Bosnia, haunted by the killers he waved through his checkpoint on their way to murder; the veteran of the Malayan Emergency taken from an oily Manchester canal to a burning river in the jungle; the Iraq war infantryman who must patrol, every day, over the ""blood-shadow"" left by the corpse of the looter he shot. These are poems about what happens when the heat of battle gives way to the brutal chill of a Home Front, where the home fires do not burn. Pomona, £6.99; 80pp m £6.64 (free p&p) 0870 1608080 timesonline.co.uk/booksfirst",https://link.gale.com/apps/doc/IF0503927055/TTDA?u=uppsala&sid=bookmark-TTDA&xid=f739e65e
"Lupton, Hugh",Darkness and light in poems of madness,The Times,2008-Oct-18,"London, England","Darkness and ht in poems of madness
Poetry Hugh Lupton
*&/,.,£$& Dear Alice
DEAR ALICE Narratives of Madness by Tom Pow THERE WAS A SHIFT in the understanding of lunacy in the early 1800s. The Enlightenment had turned its back on old superstitious notions that madness was somehow connected to ignorance and sin; the madness of George III made the admission of insanity more socially acceptable and popularised the idea that it was an illness that could be treated. And the Dissenters, particularly Quakers, had begun to promote a new, humane system of dealing with insanity. What they called ""Moral Treatment"" encouraged good diet, exercise, and work in ordered farms and gardens. Samuel Tuke (a pioneer of this style of treatment) wrote that in cases of madness the ""intellectual, active and moral powers are usually rather perverted than obliterated"". In the first half of the 19th century there was a huge growth in private and public hospitals for the insane. The old regime of barred cells and ""strait-waistcoats"" began to give way to more kindly systems. Madhouses became asylums, madmen became patients. We can glimpse this new regime in
accounts of John Clare during his 23-year stay in the Northamptonshire General Lunatic Asylum. The newspaper editor Spencer Hall visited him as he worked in the asylum gardens, ""rather burly, florid, with light hair and somewhat shaggy eyebrows, and dressed as a plain but respectable farmer, in drab or stone-coloured coat and smalls, with gaiters,... and altogether as clean and brushed up as for market or fair"". Clare was convinced that he was being kept there to be ""fed up for a fight"" (he had delusions that he was a famous prize fighter). When Hall suggested that his reputation as a poet outshone his reputation as a fighter, Clare replied: ""Oh poetry, ah, I know, I once had something to do with poetry, a long time ago: but it was no good. I wish, though, they could get a man with courage enough to fight me."" These tensions between asylum containment and open fields, between delusion and reason, run through Tom Pow's extraordinary new book of poems, Dear Alice: Narratives of Madness. The collection circles around the Crichton Asylum in Dumfries — now part of Glasgow University. Founded in the 1830s, the asylum was initially part of the same humane impulse as Samuel Tuke's ""Moral Treatment"". Its 150-year existence charted a shifting and evolving understanding of mental illness and the permeability of identity. This social history is at the root of the book. But madness remains a mystery. And the profound pain and distress of the afflicted makes a harrowing counterpoint to the therapeutic systems that have attempted to cure (or at least constrain) them. In Nightwatch, 1842 the poet treads the asylum corridors as a nurse and notes down the ""frac-
\X
Mental patient in straitjacket circa 1818 tured plots"" of the lunatic narratives that are cried out in the darkness: ... I give due ballast to the most frivolous claims — become master of reason when I've need to flatter the restless and noisy: ""What spikes your night are pictures"", I tell them. One's convinced That shadows cut her like knives ... In Questions of Judgement we see the inmates working the fields of the Crichton Home Farm Steading: ... They are judged by simple needs: a plenitude of food, fresh air and exercise. Each evening heading home, the huge clock-face confronts them like a new moon binding them to the slow seasons of growth ... Two poems in the collection feature Charcot and Freud, and there is a sequence that addresses the collective madness of the First World War (when Crichton was a place of convalescence). But it is when Tom Pow speaks of the patients themselves,
their case histories, their torments and consolations, that the book finds its heart. We read of M, who, during her menstruation tried to rescue a hen from a pond, and was mad for the rest of her life. We meet Angus McKay, piper to Queen Victoria, who lost his mind ""over study of music"". And in Grass we meet Angus McPhee, who in the 1970s and 1980s was weaving grass into clothes at Crichton ""for the weaver's own joy and to praise/ The industry of hands"". In Resistances Pow ends with a coda that speaks for all the inmates as they address the note-takers who have recorded them: the things I could tell you but again you would sift them through the grid of your understanding and then you would not be speaking for me which is all I ask this clouded evening that somewhere in the silence there is someone who speaks with indifference in a small voice for me The final poem of the cycle is addressed to ""The Great Asylums of Scotland"". In it Pow sets the noble impulses that built them against the suffering the buildings have contained, and their present dereliction: In attic rooms the sky's light pours over a tide-wrack of maps, plans, records — a grid to lay over a waste of rage, grief, anger and pain. None of that will make a cairn ... The grid, Tom Pow implies, is ofour making: the grid of reason and rationality. The old asylums are empty now. That grandiose 19th-century impulse has been left behind. And what of their inmates? ... though of the mad, little could be salvaged — not one knitted pullover, not one apron — ... The melancholy we mourn they transformed into bread, milk, sunlight. John Clare, bent over his spade in the Northampton asylum, would nod his amen to that. Hugh Lupton and Chris Wood perform On Common Ground (stories and songs about John Clare and the Enclosures) at the Canterbury Festival on October 20 (01227 378188; canterburyfestival.co.uk). Salt, £12.99; 96pp Q £11.69 (freep&p) 0870 1608080 timesonline.co.uk/booksfirst",https://link.gale.com/apps/doc/IF0503810636/TTDA?u=uppsala&sid=bookmark-TTDA&xid=c6f39574
"Feinstein, Elaine",Stories with the force of myth,The Times,2008-Aug-02,"London, England","Poetry Elaine Peinstein
Stories with the force of myth
.iWtV *
SELECTED POEMS by Eilean Ni Chuilleanain SEA LEVEL by Angela Leighton AMONG THE MOST distinguished Irish poes other generation, Eilean Ni Chuilleanain's clean, uncluttered lines sing out from the page. Their simplicity is altogether deceptive, however; her propositions are enigmatic, and from her earliest poems we are invited into a fairytale world of ransoms and mysterious tasks: Ants have helped me To sort the millet and barley grains. I have washed bloodstains from the enchanted shirt. There is an unease beneath every moonlit silence. In one bf the sections taken from The Rose Geranium, the central figure opens an egg given to her by a wise woman and finds inside ""some of her own hair, a tooth still bloody from her own mouth""; an inexplicable, chilling discovery. Sometimes there is a story behind a poem that the reader is able to piece together, In MacMoransbridge, for instance, sisters of a dead man remain so in awe of him that they dare not touch his desk, simply going on with their own tasks, ""boiling up mutton shanks for broth"" and so fail to discover his will. The strangest of these stories have the force of myth; for instance, the poem about a girl who falls in love with a reindeer. Her family are appalled by her departure into his frozen world. On a visit home, ""They slipped a powder in her drink/ So she forgot her child, her friend."" When the reindeer dies, he is seen to have the naked body of a man, and his curse destroys the old Queen. The poem resolves as the child
from the North — ""His hair was bleached, his skin blistered"" — comes to release his mother from the spell. Angela Leighton's Sea Level is the second book of a much younger poet who uses many different voices. Often her poems are language-led, and she relies on a glittering surface of unusual words; her play with sounds ""a water-slipper, whippersnapper"" suggesting an invention so rapid that she has to check it: ""What is the quick of this quick sand?"" She experiments with typography rather as Black Mountain poets once did, using 2 em spaces as a means of insisting on pauses. Consider the images from the natural world she finds for Kings College Chapel: It is strip-willow, pillars like wicks of rushes scored upright from the lodes and dug channels. It is flood plains in flower, trimming heaven, carex, calamus, windlestraw on the common. She writes impressive elegies for Miklos Radnoti and Michael Donaghy, but her most individual voice is as sinister as Plath conflating the murderous with the sexual. In her remarkable Cousin Butchers, Leighton observes the limbs that ""... lie with such abandoned purpose here/ Landscaped in trays, like sudden/ Rare colourists of what lies hidden in us"". She is clearly an original poet and may come to be an important one. Selected Poems Faber, £12.99; 128pp EJ £11.69 (free p&p) Sea Level Shoestring £8.95 ® £8.50 (free p&p) 0870 1608080 timesonline.co.uk/booksfirst Eilean Ni Chuilleanain appears at Edinburgh International Book Festival on Saturday, August 9. (0845 3735888; www.edbookfest.co.uk)",https://link.gale.com/apps/doc/IF0503784137/TTDA?u=uppsala&sid=bookmark-TTDA&xid=8870d385
"Verrico, Lisa",Who cares what the lyrics say?,The Times,2008-Jul-21,"London, England","first night
Who cares what the lyrics say?
*•• timesonline.co.uk/arts
Latitude Festival Henham Park, Southwold ••••-fr Lisa Verrico
They didn't have a hope of starting a singalong, but Sigur Ros still pulled the largest crowd at Latitude. The Icelandic band, who sing either in lll§llil§ their native tongue or in an even stranger-sounding, made-up language, may have breached the British Top Ten for the first time in their 14-year career with their current album Med Sud i Eyrum Vid Spilum Endalaust, but as festival headliners they arrived on stage with scant experience. They did bring along a splendid collection of gigantic globe lanterns, which were suspended above them, and enough dry ice to turn a picturesque hillside in Suffolk into what looked like an eerie scene from an old movie. If that was the intention, the frontman Jonsi Birgisson played the flamboyant villain to perfection. Sporting silver, glittery stripes on his cheeks, with feathers protruding from the high collar of a black, buckled jacket with fringed sleeves, he sawed manically at his guitar with a bow and sang in a searing, spooky falsetto. Did it matter that no one knew the words? Not a jot. Backed by a sumptuous band that, from old number Glosoli onwards, included a female string section in Victorian dress and,
later, a brass band in white suits and matching bowler hats, Sigur Ros delivered a majestic set that was spellbinding from start to finish. Their elegant, pounding surge of othe-worldly sounds reached its peak on Hoppipolla, best known as the theme from the TV series Planet Earth, when fans could no longer resist the urge to join in and chanted ludicrous, fabricated lyrics. As
He sawed manically at his guitar with a bow and sang in a spooky falsetto
confetti rained down during the aptly titled, but still utterly incomprehensible Festival, Sigur Ros had achieved what few thought them capable of — enchanting an enormous crowd outdoors in the dark. Earlier, Elbow had been almost as bewitching, though only sporadically so in a set that was distinctly down-tempo. Each member arrived armed with a brass instrument, adding stabs to the opener Starlings, but too often the mournful majesty of songs from their current album, The Seldom Seen Kid, teetered towards morose. One exception was Grounds for Divorce, which sounded like Crosstown Traffic mixed with Sledgehammer-era Peter Gabriel, in
which the frontman Guy Garvey banged what looked like a piece of lead piping with a stick. Garvey lacked a little in the charisma department — he seemed like a lovely bloke, but wasn't convincing as a star. At least not until the closing number, One Day Like This, a string-drenched, orchestral epic that may well have been the weekend's highlight. If Garvey ever needs an ego, boost, he should
listen back to that track and the army of admirers who howled along. Less lucky were the acts who played in Latitude's tents. Or rather, their fans. The weather held out for most of the weekend, but there was one continual criticism: the tents were too small. Anyone wishing to see an act had to save a space early, and plenty were left disappointed. #
Eeerie scene Jonsi Birgisson, Sigur Ros's frontman, played the flamboyant villain to perfection",https://link.gale.com/apps/doc/IF0503862660/TTDA?u=uppsala&sid=bookmark-TTDA&xid=c4d47985
"May, Derwent",Quest for a kind of paradise,The Times,2008-Jul-19,"London, England","Poetry Derwent May
Quest for a kind of paradise
.
filUtxt<dl'n4OTi
THE ANNOTATED COLLECTED POEMS OF EDWARD THOMAS edited by Edna Longley EDWARD THOMAS was a man who turned from a hack writer into a remarkable poet practically overnight. Born in 1878, he made a meagre living until 1914 by writing topographical and nature books, and endless book reviews. Then two things happened. He met the American poet Robert Frost, who urged him to write poetry, and the First World War broke out. Through these disparate events, something was liberated in him. He wrote his first poem in December 1914, and over the next two years, before he was killed by shrapnel at Arras, he wrote another 141. In them he
revealed himself as one of the most subtle and fascinating poets of the 20th century. Suddenly his relationship with nature appeared as something quite different from what one finds in his prose books. Those were mainly a straightforward celebration of the English countryside, both its wildlife and its ancient human traditions. In the poetry, another side of the man emerged. The love of nature was unmistakeably there. But the poems spoke of a longing, inspired by nature, for something beyond it. In Old Man, which was probably only his third poem, he beautifully describes a feathery herb growing at his cottage door called Old Man or Lad's Love. But he values only its bitter scent — and that only because it leaves him lying in wait for something he ""should, yet never can remember..."" In Sedge-Warblers he draws a brilliant portrait of these little birds ""clinging so light to willow twigs"" — but what he finds significant is that in their song they ""reiterate endlessly""
'Poems of a longing inspired by nature' something that ""no man learnt yet, in or out of school"". His most famous poem, Adlestrop, is about a country railway station where his train stopped ""unwontedly"". He heard a blackbird singing, and then, around him, sang ""mist-
ier/ Farther and farther, all the birds/ Of Oxfordshire and Gloucestershire"". This is not just a celebration of singing blackbirds. It is a poem about a vision in his mind of some kind of fading, ""mistier"" paradise. He married when he was still at Oxford and only 21, while his wife Helen was just 20. One poem, in beautiful halting lines, begins ""No one so much as you/ Loves this my clay... None ever was so fair/ As I thought you"". But it goes on to say, very painfully, that he ""could not ever burn/With the love you have"". Even in love he knew a sad, strange detachment in himself. He enlisted in the Army in 1915, but was never really a war poet, though the war looms up in the background in many of his poems. How much he. cared for his family shows in a set of four exquisite poems he wrote in April 1316, imagining what he would like to give to his three daughters and to Helen. But the old note is struck for almost the last time in the poem to Helen. He
would, he says, like to ""give you back yourself — and, he adds: ""myself, too, if I could find/Where it lay hidden and it proved kind."" Edna Longley has produced an excellent edition of Thomas's poetry, though it is rather a startling volume with its 108 pages for poems, and its 177 pages for notes. It is as though she has poured a lifetime's study into the notes, accumulating an immense quantity of fact and analysing the poems from every kind of critical angle: formal, biographical, historical, psycho-analytical and sociological. Nevertheless the notes are well worth wading into. She makes fascinating comparisons between Thomas's prose and poetic versions of similar subjects, and in all her spheres comes up with rewarding apercus. What she has not learnt from Thomas is his economy with words. Bloodaxe, £12; 352pp ® £10.80 (free p&p) 0870 1608080 timesonline.co.uk/booksfirst",https://link.gale.com/apps/doc/IF0503862004/TTDA?u=uppsala&sid=bookmark-TTDA&xid=c7c2eb6c
"Batchelor, Paul",Verse from three perspectives,The Times,2008-Jun-21,"London, England","Poetry Paul Batchelor
Verse from three perspectives
i Mick imlah
BLOODSHOT MONOCHROME by Patience Agbabi THE LOST LEADER by Mick Imlah SEA CHANGE by Jorie Graham READING THESE THREE collections, I was struck by how differently these poets define their responsibility to their readers. Patience Agbabi has the clearest idea of who her audience is. A renowned performer of her work, in Bloodshot Monochrome Agbabi uses poetic form to continue her performance on the page. Foreign Exchange is the best of the collection's many sonnets. It describes a racist encounter in Hamburg: ... reminding me of school, that French exchange, a simple sentence, Parce qu'elle est noire, delivered at such speed and with such hatred it stung me: to encounter so much rage; more, for being judged solely by colour; but most, the fact it had to be translated. Unfortunately, Agbabi does not always craft her cadences
and choose her rhymes so carefully. The sonnet sequence Vicious Circle tells the story of a film-noir love triangle. The story has plenty of intrigue and betrayal, but the sequence is marred by a relentless staccato rhythm, short sentences and repetitive syntax: the poems cry out for a performer to animate them. Problem Pages is more assured. In this sequence, Agbabi plays agony aunt to 14 dead poets, who are having problems with their sonnets. We hear from canonical names (Milton, Keats), all-butforgotten female poets (Lady Mary Wroth, Charlotte Smith) and key black poets (Claude* McKay, June Jordan). It's a risky way of both invoking influences and putting them in their place, and testament to Agbabi's verve and confidence that she pulls it off. To move from Agbabi to Mick Imlah's The Lost Leader is to feel the poetic line slowing and the texture thickening. You're going to have to work harder, but these subtle poems will repay return visits. The Lost Leader is a book of enormous ambition: 20 years in the making and twice as long as most slim volumes, it offers a poetic history of Scotland starting at the year dot (""before/ Colum and Camelot""). Along the way, we hear from some familiar and not-so-familiar Scottish heroes: Robert fhe Bruce and Michael Scot, Bonnie Prince Charlie and Gordon Brown (the rugby player, not the politician). The collection ends with a stunning, full-throated lyric that draws parallels between
LYNDON DOUGLAS
rejected art and the stars. The poet wonders if they dream away their loss of face in a sky like that; if there, though day's glare or the northern night obscure them, though nature has done with them, still through the void they hurtle their wattage, powered with the purpose of having been — being, after all, stars, whose measure we may not take, nor know the wealth of their rays. Douglas Dunn offers one precedent for the consummate formal achievement of these poems, but otherwise Imlah situates himself among much earlier literary models: Edwin Muir, Robert Browning and James Thomson. Indeed Im-
lah remains hard to place on a map of contemporary Scottish poetry. His playful-yet-elegiac formalism seems untouched by Don Paterson's satirical bite, or W. N. Herbert's surreal, knockabout humour. As a history of Scotland, The Lost Leader might be a late tackle; but as a display of poetic forms and resources, the collection is invaluable. Jorie Graham is the most private of these three poets. While she has a considerable following in the US, and a growing number of admirers on these islands, her poetry does not seek out connections with the reader. Instead, Graham explores connections between her perceptions and experiences. Sea Change is a series of meditations on political and environmental fears. Many poems
Patience Agbabi takes on the role of agony aunt to 14 dead poets
begin in anxious observation: ""Deep autumn & the mistake occurs, the plum tree blossoms."" Graham is adept at capturing such moments. She is a poet of transitions and transformations, rather than closely painted images. No Long Way Round begins: Evening. Not quite. High winds again. I have time, my time, as you also do, there, feel it. And a heart, my heart, as you do, remember it. Also am sure of some things, there are errands, this was a voyage ... To a greater extent than most poets would dare, Graham demands that poetry should answer to its moment. Fler work can be difficult, and does not always avoid portentousness: ""there is a form of slavery in everything"". Nevertheless, Graham's poetry is exhilarating because of its ability to open a space of cleareyed hope. This hope is usually located in artistic creation or, as here, the silence that precedes the creative moment: this will be a time again in which to make — a time of uselessness — the imagined human paradise. Bloodshot Monochrome Canongate, £8.99; 66pp m £8.54 (free p&p) The Lost Leader Faber, £9.99; 144pp m £9.49 (free p&p) Sea Change Carcanet, £9.95; 80pp E £9.45 (free p&p) 0870 1608080 timesonline.co.uk/booksfirst",https://link.gale.com/apps/doc/IF0503806527/TTDA?u=uppsala&sid=bookmark-TTDA&xid=c2ee960f
"Vickers, Salley",An eerie poetry,The Times,2008-Jun-14,"London, England","Novel
An eerie poetry
GLISTER by John Bumside A RESPECTED NOVELIST confided to me recently that: she had a ""reservation about novels written by poets"". Why? I wondered. Two of our greatest poets, Thomas Hardy and D. II. Lawrence, were also fine novelists and John Burnside's 12 collections of poetry and six novels put him in the Hardy and Lawrence class. Burnside deploys language with a poet's acuity, deftly registering shifts of consciousness and shades of description but never imposing ""poetical"" visions. Glister is set in Innertown, a bleak No Man's Place whose isolated community once serviced a chemical plant. The plant has spawned human fatalities and engendered the strange fauna and flora found on the eerie headland where the derelict buildings remain. Only Leonard, the novel's 15-year-old protagonist, with a father in the last stages of cancer, visits them now. His mother has scarpered, leaving her son to carry the can, which he does literally, dealing with his father's blood and vomit. Leonard is, understandably, discontented, but intellectually savvy and an avid reader. He devours Henry James and Proust; and he also consorts with Elspeth, who attracts his attention at the local library by offering him oral sex. There is a slight sense that this and subsequent sexual excursions are there to lend respectability to Henry James. This was a moment when I felt a rare touch of authorial pressure. However, this is a small cavil. The unfolding ofthe sinister story of the ""lost boys"" who have gone ""missing"" is done with skill. Perhaps a mite too predictably, the disappearances are accredited to a supposed paedophile, by a gang of youthful misfits to which Leonard, with qualms, attaches himself. The qualms are tempered by the allure of Eddie, whose passivity and violence strike a resonant violence from Leonard. Eddie rings utterly true; as does the itinerant, mild-mannered ""moth man"", the key to the novel's startling denouement where Burnside's twin talents fuse and darkly shine. SALLEY VICKERS Jonathan Cape, £15.99; 272pp m £14.39 (free p&p) 0870 1608080 timesonline.co.uk/booksfirst",https://link.gale.com/apps/doc/IF0503805616/TTDA?u=uppsala&sid=bookmark-TTDA&xid=094b5d5c
"Monro, Alexander",Two trees sprouting from a single root,The Times,2008-Jun-07,"London, England","Two trees sproutin from a single root
Alexander Monro on the Chinese-British Yellow Mountain poetry festival
FOR A FEW MOMENTS on a Cardiff afternoon this week the ""tree"" that forms the lynchpin of the Welsh Senned provided shelter for a polyglot parliament of the poets, formally launching the 2008 Yellow Mountain Festival. The object was for poets of the English and Chinese languages to conduct joint translations, all funded by the Arts Council and the businessman and poet Luo Ying, dubbed ""China's richest poet"". Founded two years ago by the Chinese poet Yang Lian, whose collections have appeared in several languages (and whose poetry appears in the Bloodaxe anthology In Person: see overleaf) and the English poet Fiona Sampson, the Editor of Poetry Review, this year's festival began at St Donat's Castle on the Glamorgan coast with four days of translation work in pairs. Translation of poetry is a knotty business, with the results tending more towards recreation than replication. But when the languages are Chinese and English, the challenge is greater still. Imagine translating from a language whose written words are fixed without letters, which has no agreements, only rarely indicates plurality or tense, disdains all but a few conjunctions and achieves much of its musicality through its four tones. ""Poetry in translation means that you have two different trees that grow from the same root,"" Yang Lian explained. ""At first we thought Chinese was more visual, whereas English, and especially Welsh, were more musical, but we found that the good poems provide all these layers."" Yang emerged as a poet in 1980s China and was eventually criticised for ""spiritual pollution"". After 1989, he became an exile and has since lived in Auckland and London. ""For Yang, everything is driven by the pictorial implications of the characters, as though he's uncovering hieroglyphs in ancient languages,"" his principal translator Brian Holton explains. Such culturally or linguistically defined images, metaphors and allusions risk spawning translations that are prolix, flat or plagued by footnotes. Instead, invention tends to win out. ""It's not only meaning, or we could write novels,"" said Robert Minhinnick, the award-winning poet and editor of Poetry Wales. ""You might change the structure or feeling. The key is images and sound — sensory things."" The Chinese script has bequeathed its poets an extraordinary capacity for ambiguity, thanks to its pareddown grammar and lack of agree ments. In some lines, four unrelated objects are listed vvith no words in between sometimes, Yang says, Ihe tones provide the only link. Many ol' Ihe Chinese ports galli i:ii'(\ share personal heritage in Iheir rejection of Party led social realism in the |9Mbs m favour ol more abstract forms |>uhhed Ihe Misty Poets"" fui (hen \ci)eij ,illa< f un guy eminent srycj.il hau -.hilled llieii lot ic ,is | esh |< I luir b.c.' k"" ' ' ""e<j hale, U a , IU. i a.:"" ""! ' him >
Visual impact: Yang Lian, founder of the Yellow Mountain Festival publishing his poetry since the 1980s, alludes frequently to the history of Chinese literature. ""Until 2002 he taught Western literature exclusively. Now he only teaches classical Chinese literature,"" Arthur Sze, an American poet and lecturer at the festival says. ""It's almost as though he only learnt to use Western techniques for his own purposes."" For China, modernity was a Western import, and with it came new literary influences, among them Ezra Pound, who imitated the bald but graceful expressiveness of classical Chinese poetry. ""Translation has this ability to bring in different angles, whether on values, human life, even on a chair,"" says Yan Li, whose poetry has been translated into several languages. It is this engagement abroad that
fThe key is images and sound - sensory things'
marks the new paths that Chinese poets have struck out on over the past decade or two — it is also the concern of the festival, and of the anthology it will publish next year. As I leave St Donat's Castle, Yang is explaining to Sampson that the hanging clouds in his poem are like curtains on a stage but that, as they roll open, they also allow you to reveal your inner self. This is Yang at his conceptual best, always seeking out greater symbolisms, what he calls ""that self sufficient universe of poetry"" that Pound had striven fbr. Such collaborations can only make thai prospect draw closer, Ihc I'lmliy oi Yollow Mountain, /.'Vipni loni/'-Jil, yuicnll /{onm, PdiiIIi iPuih (,1'lilti', / nni im \ PI I. j 11) iwww.Yniitlihnnlo i-uln- on nk, (I'd/ I (.( m :"",()()) fa .ui Vatt'j I Mil's pHctds IM ie.tr lalf/M a»",https://link.gale.com/apps/doc/IF0503861065/TTDA?u=uppsala&sid=bookmark-TTDA&xid=34c05a41
"Macintyre, Ben","Ben MacIntyre ' Bush's language might be mangled, but it has an accidental poetry'",The Times,2008-Jun-07,"London, England","Ben Macintyre fBushfs language might be mangled, but it has an accidental poetry1
Even q remoul passage Mala mispro poured nouns tences tenses Jacob gan co tlie Bu >hed dent's million Cove often a was p Bush men losse but co w , "" • 1 * « ] * , * „ * POLLY BORLAND
WHEN GEORGE W. BUSH leaves office, the war will finally come to an end. For years the President has struggled, locked in mortal combat, determined to crush and destroy an enemy that his father confronted before him. At times, Bush seemed weighed down by the conflict, but he never gave up the fight. This war was personal. I refer, of course, to George W. Bush's single-handed and brutal battle with the English language. No leader of modern times (with the possible exception of John Prescott) has attacked the language with such sustained violence. No other politician can match Bush's ability to mangle syntax and sense into surreal shapes. quite simple sentences found themselves remoulded into Byzantine complexity in the from Bush's brain to his mouth. Malapropisms, neologisms, spoonerisms, mispronunciations and other verbal exotica out ofthe President in torrents. Rogue would suddenly wander into his senand refuse to leave. Verbs, prepositions, were locked in permanent conflict. Weisberg, editor of Slate magazine, becollecting these ""Bushisms"" at the start of Bush Administration, and has since pubno less than six volumes of the Presiverbal gaffes, selling more than half a copies and almost as many calendars. Covering Bush's campaign in 2000 was an exercise in approximate translation. I privileged to be present in Iowa when told an audience: ""It's a world of madand uncertainty and potential mential losses."" I still have no idea what he meant, the word has entered my family's lexicon: a ""mential loss"" is what happens whenever anyone says something particularly idiotic, or mislays the car keys. Bush's refashioning of the language might be incomprehensible, but it also had a sort of accidental, internal poetry. An enterprising schoolteacher, Dirk Schulze, welded together some of Bush's more famously peculiar phrases to create an entire poem:
Rarely is the question asked: ""Is our children learning?"" Will the Highways of the Internet become more few? How many hands have I shaked? Occasionally, Bush can get stuck in his own
circular grammar, producing a mellifluous if
meaningless rap: ""When I was coming up, it was a dangerous world, and you knew exactly who they were. It was us versus them, and it was clear who them was. Today, we are not so sure who the they are, but we know they're there."" This is reminiscent of Donald Rumsfeld, the acknowledged master of inadvertent existential poetry: As we know, There are known knowns. There are things we know we know. We also know There are known unknowns. Opinion has long been divided over whether Bush's inarticulacy is natural or partly feigned,
the mark of an honest Texan with no time for fancy talk, or evidence of mental (and possibly mential) confusion. Sometimes Bush's linguistic slips brought out a hidden truth. He once declared that racial quotas tended to ""vulcanise society"". He meant to say ""Balkanise"", of course, but the malapropism probably more nearly captured what he meant: vulcanisation (after Vulcan, the Roman God of fire) is the process whereby rubber is cured with sulphur or other chemicals to create an artificial substance that is harder, denser and insoluble. A society divided by race is truly vulcanised. Weisberg himself admits that ""Bushisms give a misimpression of Bush; and the misimpression is they make him sound like he's dumb."" Bush is careless of the way he speaks, he reaches for long words and then falls over them, but this is very far from a sign of stupidity. In Weisberg's words: ""He has some particular kinds of intelligence that serve him very well. He has a strong interpersonal intelligence in that he reads people very quickly and very well."" Many Americans came to relish his unique way with words. Bush became adept at mocking his own inarticulacy. One never knew where the language might take him, and nor did he. 1 rememberafter one particularly baffling extemporised speech, when Bush passed the press corps he simply grinned and asked: ""Bumble though OK?"" In part, Bush's language is inherited, for his father was prone to the same linguistic chaos. The former President startled a group of foreign tourists in 1992 by attempting to begin a conversation with the words ""I ley, hey, nihaoma. Hey, yeah, yeah. Heil, heil-a kind of Hitler salute."" Nihaoma is Mandarin for ""How are you?"" The rest is untranslatable. In the end, Bush's numerous assaults on the English language did no harm, which cannot be said of his other battles. At a rally in Oregon recently, President Bush declared: ""1 hope you leave here and walk out and say: 'What did he say?'"". Ofthe epitaphs on the Bush era, ""What did he say?"" will be among the kindest.",https://link.gale.com/apps/doc/IF0503861092/TTDA?u=uppsala&sid=bookmark-TTDA&xid=dce9f9ad
"Riley, Chris",Don't Forget the Lyrics,The Times,2008-May-10,"London, England","DlgltalChoice Chris Riley
Dont Forget the Lyrics Sky One, 7pm
y,p Game show, hosted by Shane Richie and part of Sky One's shiny St/per Sunday package, putting pop knowledge to the test: fill in the missing lyrics to ten songs and contestants can win £250,000. Think karaoke meets Who Wants to Be a Millionaire? — despite all the warbling (game Paula, first up to the mic, isn't what you'd call an undiscovered talent), this shares most of its basic grammar with the Tarrant juggernaut. (There are even lifelines, known as ""back-ups"".) All of which may well explain why it's actually rather good fun, Richie's drunk-dad-at-a-wedding dancing aside. Best moment? Paula, pondering one of her guesses, earnestly asking: ""Does it make sense?"" It's Bananarama, Paula.",https://link.gale.com/apps/doc/IF0503867260/TTDA?u=uppsala&sid=bookmark-TTDA&xid=5592d6a9
