Author,Title,Publication,Date,Place,Full_text,URL,Cleaned_text,Content_creator,Confidence
Null,Some New Books,The Times,1929-Jan-08,"London, England","SOME NEW BOOKS.
TIIE LiUE AND LEirms OF GEORGE DARIEY.
By Claude Colleer Abbott. (Milford.
,0? WANDERnM; WHIEELS. By Jan and Cora
Gordon. (Lane. 12s. 6d. n.)
CoLLEcrTD ESSAYS. By W. H. Hadow. !(Milford. 15s. u.)
VOICE -N VERSE. B} H. C. Colles. (Milford.
7s. 6d. n.)
WALT W Hr U's WVORRSHOP. By Clifton
Joseph Furness. (Milford. 35s. n.)
A FATALIST OF WAR! By Rudolf Binding.
(Allen and Unwin. IOs. 6d. n.)
TALES FRON SONE EASTERN JUNrGLES. By
K. W. S. Mitchell. (Cecil Palmer 15s. n.) FICTION.
THE PIUSOXEB IN THEI OPAL. By A. E. W.
ason. (H{odder and Stoughton. 7s. 6d. n.) TanE SWORD FAu.s. By Anthony Bertram.
(Allen and Unwin. 7s. 6d. n.)",https://link.gale.com/apps/doc/CS302850088/TTDA?u=uppsala&sid=bookmark-TTDA&xid=4ba0f46f,"Some new books. The Lillie and Lellie series of novels. By Claude Collier. Albright. 0,0? WANDERM WALLS. By Jonas and Cora Gordon. Lorna. 12s. 6d. n. COLLECTIVE ESSAYS. By W. H. Hadley. Milford. 15s. u. VOICE-IN VERSE. B. H. Colles. Miller. 7s. 6D.n. WALT WROUGH OUR STORY. By Clifton Jefferson. Miller. 35s.n. A FEATURE OF WAR! By Rudolph Binning. and John Updike. ii. 6. n. TALES FROM OUR EARTH SERIES. By K. W. S. Mitchell. Cecil Palmer is 15s. N. FICTION. The police are coming for me. By A. E. W. Smith. and Hodder and Struett. 7s, 6d.n. TANES OF FUTURE. By Anthony Bertram. Andres Barreto. and Thomas Edison. 7s and 6d. N.",,
Null,Books Published To-Day,The Times,1914-Apr-20,"London, England","BOOKS PUBLISHED TO-DAY.
Almack, E. “Fine Old Bindings."" Blades, East, and Blades, £3 3s. n.
Bamfylde. W. “The Uplanders."" Sampson Low. 6s.
Drysdale, . A. L. "" Greater Profits from Land.” Edinburgh: The Edina Publishing Company. London: Fisher Unwin 10s. n
“ Light Car Manual."" A Guide to Economical Motoring. Temple Press. Is. n.
Lltta. The. Duke. "" Monsignor Vlllarosa."" Fisher Unwin. 6s.
Mack. Louise. "" The Music Makers."" Mills and Boon. 6s.
Pepys. Samuel. A Descriptive Catalogue ot- the Library of. Parts L and II. Sedgwick and Jackson. 7s. 6d. n. each.
Rldzer. A. L.
■Ruck. Berta.
Hutchinson. Savile, 1’. “ Thomas. E. .White, S. E.
“A Wanderer’s Trail” Grant Richards. 10s. 6d.n. (Mra. Oliver Onions.) ‘‘His Official Fiancee.”
. 6s.
The Red Wall.” Nelson.
"" In Pursuit of Spring.” “ African Camp Fires.”
. 2s. n. Nelson.
Nelson. 5s. n.
A complete classified and annotated list of the. week’s new books Tonne part of The Times Literary Supplement. which is now published at one penny every Thursday.
GOVERNMENT PUBLICATIONS.
Messrs. Wyman and Sons (Limited), offlcialsale agents in England aud Wales for Parliamentary papers and Stationery Office publications. have published the following, post free:—
Coal Mines Act. mi. Daily Log Book, No. 10. 2s. 7d. Army Equipment Regulations: Field Squadron. 2^2d. Coal Mines Surface Eight Hours. Id. Elementary Education: Defective and. Epileptic Childern Bill Report. 2*2d. Local Taxation: Committee. Evidence and Appendix, 3s. 6d. Union of South Africa: Report of the Indian Enquiry Commission. 5izd. Anny Orders^ April. Sled. .",https://link.gale.com/apps/doc/CS100991636/TTDA?u=uppsala&sid=bookmark-TTDA&xid=e64c5a49,__FAILED__,,
Null,Some New Books,The Times,1937-Nov-09,"London, England","SOME NEW BOOKS
LuDwiG It OF BAVARIA. By Fcrdinand Mayr-
Ofen. Translated by Ella Goodman and Paul Sudley. Cobden-Sanderson. ISs.
HIMALAYAN CAMPAIGN. By Paul Haucr. Trans-
lated by Sumner Austin. Oxford: Blackwcll. 8s. 6d.
GLIMPSES AND REFLECIIONS. By John Gals-
worthy. Hcinemann. 8s. 6d.
TASTE AND FASHION. By James Laver.
Harrap. 12s. 6d.
MY' LIFE AND FRIENDS. By Edward Speycr.
Cobdcn-Sanderson. 12s. 6d.
FREELANCE PILOT. By Nornian Macnmillan.
Heinemann. ISs.
CLAVERHousE. By Gordon Daviot. Collins.
15s.
NNVRESTLING JACOI: A SIUUDY OF JOHN WESLEY.
By Marjorie Bowcn. Hcinemann. I5s.
Our OF AFRICA. By Karen Blixen. Putnam.
12s. 6d. FICTION
BLACK CAESAR. By Theodore Strauss.
Hcinemann. 6s.
RIVER JUNK. By Max Catto. Arthur
Barker. 7s. 6d.
A STRANGER AND A SOJOURNER. By Nora K.
Smith. Hodder and Stoughton. 8s. 6d.
RFFELLION. By Neal Harman. Arthur
Barker. 7s. 6d.",https://link.gale.com/apps/doc/CS352792937/TTDA?u=uppsala&sid=bookmark-TTDA&xid=fbe626fc,SOME LUCE BOOKS IN ABOUT BRAZIL. By Ferdinand Magdalena. Transliterated by Paul Schur. Trans-literated by Sumner Austin. Oxford University Press. 8s. 6d. GLIMPSEES AND RECLUESES. By John Gall-worthy. Hinesmann. 8.6d. TASTE AND FASHION. By James Larkin. Harap. 12.6d. MY LIFE AND FRIENDS. By Edward Selby. John Conwell-Sanders. 12s.6d. FREELANCE PILOT. By Norman McMillan. Heinemann. SS. CAVERHOUSE. By Gordon Diggs. Collins. 15s. NEUROLOGY IN A SUBJECT OF JASON WESLEY. By Marjorie Bowen. Hinesman. 6.5s. RIVER RUNK. By Max Catto. Arthur Barker. 7s.6. A STRAIGHT STORY. By John Updike. Hodder and Stoughton. 8. 6d. RELIEF. By Norma Hahn. Arthur Barker. 7s6.,,
Null,New Novels,The Times,1922-May-04,"London, England","NEW NOVELS.
A PRIEST'S TRAG'EDY.
THE WMON AND PXST. By
GRAZmA DELEDDA. (Jonathan Cape. 6s. net.)
Miss Mary G. Steegmnnn's translation of Grazia Deledda's novel "" La Madre "" is excellently done, so far as smoothness and accuracy go. She has hardly succeeded, however, in reproducing the effect which Signora Deledda's stories achieve in their original tongue, especially in the dialogue, where, without using dialect excessively, the simple but passionate souls of the Sardinian villagers stand-vividly before the reader.
A translation, unless it be the work of a genius, seems to hang a tissue of alien mentality in front of simplicity like this which deadens its vibrations. This swift and tragic tale, the action of which is laid in the remote village of Aar in Sardinia, has three main characters: Paul the young priest, his old mother, and the well-to-do young woman Agnes who lives alone in the big house. Old Maria Elena has brought up her son to be a priest on her savings as a servant. He had grown up remote from the world, thinking only of the holy mys,teries, and, after his consecration, had been welcomed a9S a saint in his mother's native village, long benighted. There he had passed seven calm years, during which ""he thought of himself as having already lived his life, as having known all it could offer, *-isery, humiliation, love, pleasure- and expiation; as having withdrawn from the world like some-old hermit, and waiting only for the Kingdom of God.""
Instead, he was an innocent, young man of twenty-eight who suddenly was caught by the beauty of earthly passion. His mother, whose life he was, sits despair. ing in the presbytery as the story opens. The struggle comes to its climax and ends in the two days of the story's action. Having sworn to his mother on his return that night that he will not see Agnes again, Paul passes two nights and a day of torment. Very sldlfully Grazia Deledda shows him moving in silent agony against the background of village life, reading the Gospel over an . epileptic child, taking the viaticum to an old huntsman in his miountain hut, and counselling hisboysaeristan Antiochusan adorable character. There is a second meeting with Agnes, drawn with great power, in which the strength of the girl's single heart is grander than the weakness of a soul divided between love and conscience. She threatens to expose him at the early Mass. The Mass begins, and she is there. All three are in the little church: the spiritual conflict is intense. But Agnes falls kneeling at the altar rails, and the eyes of the old mother are darkened for ever. She had died of the grief and the terror that her son had overcome. It is a moving tragedy, but neither in English nor in Plrotestant England can such a tragedy make its fullest appeal.",https://link.gale.com/apps/doc/CS269030052/TTDA?u=uppsala&sid=bookmark-TTDA&xid=d50ed088,"New novels. A tortoiseshell cat was chasing a dead leaf. And the poor man. By Grazia del Sol. Jonathan Cassavetes. Not yet. Miss Mary G. Stanton's translation of Gloria del Sol's novella La Misericordia is excellently done, so far as smoothness and accuracy go. She has hardly succeeded, however, in reproducing the effect which the Veronique del Sol stories achieve in their original language, especially in the dialogue, where, without using excessive dialect, the simple but passionate souls of the Sardinian villagers stand-in for the reader. A translation, unless it be the work of a genius, seems to hang a tissue of alien mentality in front of a simple simplicity which deadens its vibrations. This swift and tragic tale, the action of which is set in the remote village of Aar in Sardinia, has three main characters: Paul the young priest, his old mother, and the well-to-do young woman, Agnes, who lives alone in the big house. Maria Elena has brought up her son to be a priest on her own terms as a servant. He had grown up remote from the world, thinking only of the Holy Trinity, and, after his consecration, had been welcomed as a Saint in his mother's native village, long since forgotten. There he had passed seven years, during which he thought of himself as having already enjoyed his life, as having known all that it could offer, - sickness, grief, love, pleasure- and as having withdrawn from the world like some old hermit, waiting only for the Kingdom of God. Instead, he was an innocent, young man of twenty-eight who was suddenly caught up in the beauty of earthly passions. His mother, whose life he was ruining, sits in the church as the story opens. The struggle comes to its climax and ends in the death of the protagonist. Having said that, to his mother on his return that night that he will not see Agamemnon again, Paul passes away in that night and day of mourning. Very slowly and quietly, Grazia del Duca shows him moving in silence against the background of rural life, reading the Gospel to an epilepsy patient, taking the vial to an old huntsman in his mountain hut, and counselling his boyish Anatolian ancestors in an abandoned city. There is a second meeting with Agnes, who is drawn with great power, in which the strength of her single heart is greater than the weakness of a soul divided between love and conscience. She threatens to expose him at the early Mass. The mass begins, and she is there. All three are in the little church, and the spiritual conflict is intense. But as she knelt at the altar, the eyes of the dead were cast into the frame. She had died of grief and the horror that her son had overcome. It is a moving tragedy, but neither in English nor in Polish or Latin American English can such a tragedy make its full appeal.",,
Null,Some New Books,The Times,1940-Jan-19,"London, England","SOME NEW BOOKS
KEEPING COOL AND OTHER ESSAYS. By
J. B. S. Haldane. Chatto and Windus. 7s. 6d.
BOWLER HAT. By R. H. Mottram. Hutclin.
son. 12s. 6d.
THE THREE DICfATORS. By Frank Owen.
Allen and Unwin. 7s. 6d. FICTION
NIGHT. RIDER. By Robert Penn Warren.
Eyre and Spottiswoode. 9s.
DRUNIS AT DUSK. By Anna Bontemps.
Harrap. 8s. 3d.
,THE EDGE OF RUNNING WATER. By William
Sloane. Mcthuen. 8s. 3d.
BIRD WALKING WEATHER. By Gcorge
Bagby. Cassell. 7s. 6d.",https://link.gale.com/apps/doc/CS51328563/TTDA?u=uppsala&sid=bookmark-TTDA&xid=e7612ce6,"SOME BOOKS KEEPING COOL AND OTHER ESSAYS. By James B. S. Lambe. Thomas and Wines. 7s. 6d. BOWLER. By R. H. Moncrieff. Churchill and Schubert. 9s. DRINKS AT DRINK. By Anna Bronte. Harap. 8. 3d. Toward the End of Time. By Wilfrid Rall. McThumen. 8s. 3d. WATCHING BIRD WALLS. By Corgi Billby. Cassell. 7s, 6d.",,
Null,New Novels,The Times,1922-Apr-29,"London, England","NEW NOVELS.
A v AMTT,TA R TRTTAvND T.1.
THB STRONGER INELuENCE. By F. E.
IMILThLS YOUNG. (Hodder and Stoughton. 7-s. 6d. net.)
Fior the critical moment of her new story Miss Mills Younmg has chosen the familiar, but always poignant, situation of tho long-missing husband who returns to find another man occupying his place at bed and beardL It is a story of situation rather than of character, and Miss Young brings no particular philosophy to bear upon it; but her people are a long way from being puppets, and character does play a large part in bringing about the crisis.
It is a story which offers many obvious temptations to the sentimentalist, most of which Miss Young avoids. Probability is, perhaps, strained a. little in the circumstances wliich lead to the husband's supposed death being accepted, but in nothing else. All the easy avenues of escape from the full poignancy of the situation are blocked. No one can be directly blamed for the difficulty, and Miss. Young gives no encouragement to any sentimental bias in favour of either of the t-Wo men. They are strongly contrasted. characters, but their need of the woman concerned is equal, and apart from the legal question it would be bard to decide in favour of one claim rather th'an of the other. As for the woman, she has a stronger feeling for one of the two than for the other, but she is deeply attached to, both, and wishes to injure neither. And; thero is a child to be considered, not bom of the legal union.
It is a position from which there is no completely satisfactory way out, and, Miss Young wisely does not attempt'to find one. Eivery one concerned has to iuffer, and one of the two men has to be victimized unjustly. Not having loaded- the scales in favour of either, she has to let the decision go with the legal right All her people aire admirably natural, and though the chief interest is really in their situation rather than in themselves they are not inadequate to the parts they have to play. The setting of the story is in South'Africa, but Miss Young indulges in very little scene painting, and her figures move against a background of which the details rarely catch the attention.",https://link.gale.com/apps/doc/CS285938333/TTDA?u=uppsala&sid=bookmark-TTDA&xid=e038d497,"New novels. At A, T, and T 3. The Struggle for Influence. By F. E. Young. And Hodder and Struggle. 7-0. 6. Not yet. For the critical moment of her new story, Miss Young has chosen the familiar, but always poignant, situation of the long-missing husband who returns to find another man occupying his place in bed and bath. It is a story of situation rather than of character, and Miss Young brings no particular philosophy to bear upon it but her people are a long way from being puppets, and a character does play a large part in bringing about the crisis. It offers many obvious temptations to the sentimentalist, most of which Miss Young avoids. Probability is, perhaps, strained a little in the circumstances which lead to the husband's supposed death being accepted, but nothing else. All the easy avenues of escape from the full poignancy of the situation are blocked. No one can be directly blamed for the difficulty, and MissYong gives no encouragement to any such sentimental bias in favour of either of the two men. They are strongly contrasting characters, but their need for the woman is equal, and apart from the legal question it would be wrong to decide in favour of one claim rather than of the other. As for the woman, she has a stronger feeling for one of the two than for the other, but she is deeply attached to both, and wishes to injure neither. And there is a child to be considered, not by the law of the law. In a position from which there is no completely satisfactory way out, Miss Young does not attempt to find one. Everyone concerned has to suffer, and one of the men has to be killed. vilified. Not having lowered the scales in favour of either, she has to let the decision go with the legal right. All her people are admirably natural, and though the chief interest is really in their situation rather than in themselves they are not inadequate to the parts they have to play. The setting of the story is in South America, but Miss Young indulges in very little scene painting, and her figures move against a background of which the details seldom catch the attention.",,
Null,Some New Books,The Times,1932-Feb-02,"London, England","SOMIE NEW BOORKS
PEACE &ND DIsAWl3rIcr. By Leon Bluti.
Translated by Alexander Werth. (Cape. 7s. 6d. n.)
THE COSTS OF THE 9WORLD WAR, TO THE
AMERICAN PESOPLE. By John NWauirice Clark. (Milford. 21s. 7d. n.)
GEORGE VASIMn;GTON. By N'orwood Younlg.
(Duckwortlh. 1;7s. n.1
SEA FiGrrTs 1N THE E,SsT INDIEs iN TUE YEARS
1602-1639. Introduction by Boies Penrose. (Milford. 20s. n.)
TU1E DAmASCUS CHRONICLE OF THE CRus.sDLS.
Translated by H. A. R. Gib,b. (Luzac. 15s. n.)
TIuE PEPYS BALLARDS. Vol. VYI, Edited bv
Hyder Edw ard Rollins. (MilfQrd. 21s. 6d. n.)
J1UN1rS3 LN NORTH IDIAv. By Chiininlal J1.
Shab. (Longmans. 42s. n.)
AilIsTOTLE. By G. R. G. 3Iure. (Bein.
12s. Nd. n.)
FOu THE TRmIx. By Lewvis Carroll. (Denis
Arcber, G, Old Gloucester-street, W.C.I. Os. ID.)
JounNALIsIr. By Various Authors. (Pitman.
Zs. n.)
FICTION-
TnE GATEs FLEw' OPEN. By Peadar
O'Donlnell. (Cape. 7s. 6d. n.)
DA-,,'s DAY. By Denis 3ackail. (Hodder
anId StouBhtoII. 7s. ed. n.)
PANDORA'S Box.By Stephen MIcKeInna.
(Ward Lock. 7s. id. ni.)
It) 7adition to the reViewvs published regularly in re iritnc full critIcisrns of new book-s. together with a coInprehensiive list of c,urrent Zpl)blicatiols, will bc found in The Tim18CS Ltter,l- Suppf~ismcut, is.sued eVycry lThursday, Drice 3d.",https://link.gale.com/apps/doc/CS136390210/TTDA?u=uppsala&sid=bookmark-TTDA&xid=a3abcd83,"Some New Books on the World War II. By Leonid Biel. Transliterated by Alexander Werth. Caiman. 7s. 6d. n. The cost of the war, to the American people. By John Wilkin. Milford. 21st. 7d.n. GEORGE VASIMONDON. By John Young. Duckworth. 17s. n1. 1st Scene, Part II, of the Siege of Verona, in 1602-1639. Introduction by Boies Penrose. Milton. 20s.n. The Sacred History of the Church. Transliteration. By H. A. R. Gibbs, b. Lucasiac. 15s. No. Three Pink Ballards. Vol. II, Edited by Henry Bech, Edward Rollins. Mildred. 20s, n. AIDS in North America. By Chiang Kai-shek. II. Shulman. 43. No. II. Thailand. By G. R. G. III. Bein. 12s. No, no. From the Trotskyists. By Leopold Barlow. Daniel Arc, G.O., Old Gloucester-street, W.C. II. O. I. Marconi. By Various Authors. Peter Man. X. No. Fifty-six. Then came Hitler. By Peter O. Knopf. Cape Cod, Massachusetts. 7s, 6d. No. -Dave, son. By Daniel Arc. Hodder and Strode, II. ed. N. PANDORA'S BOX. By Stephen King. Ward and Lowell. ii. No. In addition to the regular newspaper criticisms, this series features full-colour criticisms of new books. together with a comprehensive list of current publications, they will be found in The Third Man, a semi-successful attempt, is due on Thursday, December 3rd.",,
Null,New books-hardback,The Times,1983-Jan-26,"London, England","New books - hardback
A selectian of interesting books published this week:
Britain's Brigado of Ghurkas.by E. D. Smith (Leo Cooper, £t895) Difficult Women by David Plante.(Gollaner. £7.95)
Entry into Jerusalrm by Stanley Middletori (Hutchinson, £7.50) Mozart by Wolfgang Hildesheimer (Dent. £10.95)
Numboeril O.by Terence Feely (,Sidgwick&lE Jackson, £8.95)
Peacefully in8erlin biy POatricipa Wvenud5orf (Kamish, Hamltn,795
The Diviner by Brian Friel (Allison & Busby. £6.95) The French by Theodore Zeldin (Collins. £1,2.95?
Virginio by John Hawkes (Chatto & Windus, £8.60) BA ~",https://link.gale.com/apps/doc/CS437357626/TTDA?u=uppsala&sid=bookmark-TTDA&xid=0d4cedee,"New books - hardback A selection of interesting books published this week by British author E. D. Smith, Leopold Cooper, and Louise Parker. 8.95 Entry into Jerusalem by Henry Hutchinson, 8.50 Mozart by Wolfgang Amadeus Mozart, 8.95 The Natural History of Jefferson, 8.75 The Diviner by Brian Friel, Allison Busby. 6.95 The French by Zeldin Colville. 11.95 The Virgin Mary by John Hawkes, 2nd ed., 8:60 B.A.",,
Null,First National Book Sale In Britain,The Times,1955-Feb-11,"London, England","FIRST NATIONAL BOOK
SALE IN BRITAIN
-------0
AGREEMENT ON PRICES
The first "" national book sale "" to be held in Britain will start on February 16 and continue for 10 days until February 26. It has been organized by the Booksellers' Association and the Publishers' Association as ""a joint effort towards greater trade prosperity.""
Its main object wil be to enable booksellers to dispose of their less saleable stocks at the best possible prices, and publishers to sell off over-stocks. So far, 750 booksellers in 450 towns have agreed to take part, as also have 211 publishers.
The Booksellers' Association bas more than 2,000 members but there are said to be in this country fewer than 500 "" pedigree "" sellers-those who deal only in books. In London, which has about 36 "" pedigree"" sellers, about 100 bookselers will take part.
STORES REPRESENTED
Some of the larger firms which are also newsagents and stationers and have a big trade in fancy goods are not taking part, because, it is said, of difficu4ties in accountancy. On the other hand, many big stores with self-contained book departments will be pepresented.
An elaborate set of rules for the sale has been agreed. These provide that during the sale "" participating bookseUers wil be permitted to offer, at any price not over twothirds of the published price, stocks of any title of which they have not ordered a copy during the last 12 months."" Any publisher wi,l have the right to stipulate that none of his titles shal be included in the sale. For Publishers' over-stocks the sale price will be not more than 50 per cent. of the published price, but during an agreed period at the end of the sale the bookseller may fix his own price on these over-stocks to clear any unsold.
Since the war about 17,500 new titles and reprints have been published annually, and last. year the total rose to more than 19,000. This may be regarded as a healthy sign of activity in the world of letters, but it also adds to the bookseller's constant problem of selecting stock and being left with unsold c:opies that represent locked-up capital.
BY THE ARMFUL
The annual book sale has become a wellestablished event in Australia; in 1953 one firm sold 80,000 books in 10 days, many customers buying books by the armful. In Sweden the annual book sale lasts a montn and it is reported that 90 per cent. of the bargains offered are sold.
The organizers of the sale-a joint committee of booksellers and publishers, with Mr. Thomas Joy as chairman-feel confident that there is now enough support and enthusiasm within the trade to ensure success.",https://link.gale.com/apps/doc/CS169432139/TTDA?u=uppsala&sid=bookmark-TTDA&xid=05ae6b20,"First national book sale in Britain ------- Agreement on prices The first national book sale to be held in Britain will start on February 16 and continue for 10 days until February 26. It has been organized by the Booksellers' Association and the Publishers' Association as a joint effort toward greater trade prosperity. Its main object will be to enable booksellers to dispose of their less saleable stocks at the best possible prices, and publishers to sell off their over-stocks. So far, 750 booksellers in 450 towns have agreed to take part, and 211 publishers. The Booksellers Association has more than 2,000 members but there are said to be in this country fewer than 500 professional book sellers - those who deal only in books. In London, which has about 30,000 professional book sellers, about 100 booksellers will take part. STORES REPRESENTED Some of the larger companies which are also newsagents and stationers and have a big trade in fancy goods are not taking part, because, it is said, of difficulties in accounting. On the other hand, many big shops with self-contained book departments will be represented. An elaborate set of rules for the sale has been agreed. These provide that during the sale participating books will be permitted to offer, at any price not exceeding two thirds of the published price, stocks of any title of which they have not ordered a copy during the last 12 months. Any publisher will have the right to stipulate that none of his titles shall be included in the sale. For Publishers over-stocked the sale price will be not more than 50 per cent of the printed price, but during an agreed period at the end of the sale the bookseller may fix his own price on these over-stocked books to clear any unsold stock. Since the war, 17,000 new books and reprints have been published, and last year's total was more than 19,000 books. This may be regarded as a healthy sign of activity in the world of letters, but it also adds to the booksellers' constant problem of selecting stock and being left with unsold copies that represent unlocked capital. By the Mail The annual book sale has become a well-established event in Australia, where in 1953 one firm sold 80,000 books in 10 days, many of them being children's books. In Sweden the annual book sale lasts a month and it is reported that 90 per cent of all the books are sold. The organizers of the sale-a joint committee of booksellers and publishers, with Mr. Thomas Johor as chairman-feel confident that there is now enough support within the trade to ensure success.",,
Null,Some New Books,The Times,1933-Jan-06,"London, England","SOME NEW BOOKS
WORLD AGRICULTURE: An International Survey.
(Milford. 12s. 6d. n.)
DOCUMENTS CONCFANING ENGLISH VOYAGES TO
THE SPANISH MAIN, 1569-1580. By I. A. Wfright. (Quaritch. 27s. n.)
POCAHONTAS. By David GarMctt. (Chatto and
Windus. 8s. 6d. n.)
NTaW YORK IN THE CRITICAL PFRIOD, 1783-1 789.
By E. Wilder Spaulding. (Mlilford. 30s. n.j BUTLERIANA. (Nonesuch Press. 15s. n.)
IF THE BLIND LEAD. By M. Alderton Pink.
(Bcnn. 8s. 6d. n.)
JANE's ALL THE WORLD's AiRcRAFr. By C. G.
Grey and Leonard Bridgman. (Sampsorn Low. 42s. n.)
DISEASES OF OLD AGE. By F. Martin Lipscomb.
(Bailliere, TindaU and Cox. 12s. 6d. n.)
UNDINE. By La Motte Fouque. Introduction
by Sir Edmund Gosse. (London: Milford. Ks. n.)
A PASSIONATE PRODIGALITY. By GUY Chapman.
(Ivor Nicholson and Watson. 7s. 6d. n.)",https://link.gale.com/apps/doc/CS101525542/TTDA?u=uppsala&sid=bookmark-TTDA&xid=48f72032,"SOME NEW BOOKS INTERNATIONAL ECONOMIC SURVEY. Milford. 12s. 6d. n. COMMENTS CONTAMINING ENGLISH VOYAGES TO THE SPIRITUAL AMERICAN, 1569-1880. By I. A. Wright. Quaritch. 27s. i. POCAHOTANTS. By David G. McKitt. and Thomas W. 8s. 6i. NEXT WORK IN THE CRITICAL FUTURE, 1783-1889. By E. W. Spaulding. Milton. 30s. nj. Butler and Baldwin. Nonesuch Books. 15s. N. If the sun shines. By M. Alderton. Pink. 8. 6d. N. All the world's a dream. By C. G. Grey and Leonard Bridgman. Sullivan and Lowell. 43s. nemesis. Diseases of old age. By F. Martin Lipscomb. Blake, Tina and Colx. 12. 6d. No. UNDINE. By La Motte de France. Introduction by Sir Edmund Gosse. London, 1690. ks. A PASSIONATE PRODUCTION. By Guy Chapman. Ivor Nicholson and Watson. 7s. 9d.",,
